Mouse_ID,Mode,Pellets,Snacks,Meals,Feasts,Total_Correct,Total_Incorrect,Percent_Correct
FOTOA01,Free_feed,211,6,19,16,142.0,65.0,68.59903381642512
FOTOA01,FR1,127,31,19,5,142.0,65.0,68.59903381642512
FOTOA02,Free_feed,174,6,11,16,41.0,24.0,63.07692307692307
FOTOA02,FR1,48,30,5,1,41.0,24.0,63.07692307692307
FOTOA03,Free_feed,292,23,44,17,100.0,58.0,63.29113924050633
FOTOA03,FR1,83,20,16,1,100.0,58.0,63.29113924050633
FOTOA04,Free_feed,271,24,48,14,108.0,81.0,57.14285714285714
FOTOA04,FR1,127,30,15,6,108.0,81.0,57.14285714285714
FOTOA05,Free_feed,208,46,45,5,161.0,27.0,85.63829787234043
FOTOA05,FR1,175,23,26,10,161.0,27.0,85.63829787234043
FOTOA06,Free_feed,195,4,7,19,103.0,33.0,75.73529411764706
FOTOA06,FR1,117,11,15,6,103.0,33.0,75.73529411764706
FOTOA07,Free_feed,194,4,6,20,77.0,47.0,62.096774193548384
FOTOA07,FR1,110,27,15,5,77.0,47.0,62.096774193548384
FOTOA08,Free_feed,236,30,50,6,136.0,18.0,88.31168831168831
FOTOA08,FR1,143,16,29,5,136.0,18.0,88.31168831168831
FOTOA09,Free_feed,225,10,14,21,92.0,40.0,69.6969696969697
FOTOA09,FR1,105,18,14,6,92.0,40.0,69.6969696969697
FOTOA10,Free_feed,247,9,25,18,32.0,46.0,41.02564102564102
FOTOA10,FR1,33,29,1,0,32.0,46.0,41.02564102564102
FOTOA11,Free_feed,250,21,49,12,122.0,53.0,69.71428571428572
FOTOA11,FR1,126,35,29,1,122.0,53.0,69.71428571428572
FOTOA12,Free_feed,276,32,64,9,122.0,62.0,66.30434782608695
FOTOA12,FR1,128,17,13,8,122.0,62.0,66.30434782608695
