MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
03/03/2025 09:43:56.224,22.71,65.14,1.16.3,Free_feed,9,4.25,NaN,0,PelletInWell,Left,7,8,12,0,NaN,NaN,NaN
03/03/2025 09:47:40.005,22.79,63.99,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,7,9,12,0,NaN,NaN,0.00
03/03/2025 09:47:41.709,22.81,63.95,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,7,10,12,0,NaN,NaN,1.26
03/03/2025 09:47:42.307,22.81,63.99,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,7,11,12,0,NaN,NaN,0.11
03/03/2025 09:47:43.010,22.80,63.97,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,7,12,12,0,NaN,NaN,0.16
03/03/2025 09:47:43.913,22.80,63.96,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,7,13,12,0,NaN,NaN,0.21
03/03/2025 09:47:44.616,22.81,63.95,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,7,14,12,0,NaN,NaN,0.05
03/03/2025 09:47:48.726,22.80,63.96,1.16.3,Free_feed,9,4.25,NaN,0,LeftWithPellet,Left,8,14,12,0,NaN,NaN,0.59
03/03/2025 09:47:49.715,22.81,63.97,1.16.3,Free_feed,9,4.25,NaN,0,LeftWithPellet,Left,9,14,12,0,NaN,NaN,0.14
03/03/2025 09:47:56.437,22.80,64.03,1.16.3,Free_feed,9,4.25,NaN,0,LeftWithPellet,Left,10,14,12,0,NaN,NaN,0.06
03/03/2025 09:48:02.348,22.81,63.93,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,10,15,12,0,NaN,NaN,0.66
03/03/2025 09:48:03.855,22.81,63.93,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,10,16,12,0,NaN,NaN,0.16
03/03/2025 09:48:53.256,22.81,63.84,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,10,17,12,0,NaN,NaN,0.14
03/03/2025 09:48:59.376,22.82,63.80,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,10,18,12,0,NaN,NaN,0.28
03/03/2025 09:49:00.080,22.83,63.77,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,10,19,12,0,NaN,NaN,0.17
03/03/2025 09:49:02.286,22.82,63.74,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,10,20,12,0,NaN,NaN,0.04
03/03/2025 09:49:17.820,22.81,63.68,1.16.3,Free_feed,9,4.24,NaN,0,LeftWithPellet,Left,11,20,12,0,NaN,NaN,0.17
